ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ARRONDISSEMENT;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;MIS_A_JOUR;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;PARC_RELAI;AB_1M_RELA;X_RGF93;Y_RGF93;"ARR_INSEE
";"GRATUIT
";"NB_PLACES
";"NUM_SIRET
";"XLONG
YLAT";YLAT;geo_shape;geo_point_2d
43;PORTE DE SAINT CLOUD;10 AVENUE DE LA PORTE DE SAINT CLOUD;10 AVENUE DE LA PORTE DE SAINT CLOUD;16;INDIGO;WWW.PARKINDIGO.FR;0146512868;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2019;175;1750;OUI;1050;1400;NON;ND;01/01/2019;1,05;2,05;4,1;6,15;8,2;12,3;16,4;28,7;32,8;36,9;36,9;36,9;36,9;36,9;28;87,5;245;875;87,5;245;875;57;1,4;61.25;171.5;612.5;10;2020-05-01;15M 15N 16P 16R 16S 16T 16U 16V 16W 16X 16Y 16Z;0,35;0,7;12,9;OUI;367,5;490;NON;ND;2187.5;NON;OUI;75;645223.9879;6860123.1316;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.253732027253757, 48.838793169405456]}";48.8387931694,2.25373202725
174;TERNES;4, 38 ET 61 AVENUE DES TERNES;4 TER AVENUE DES TERNES;17;INDIGO;WWW.PARKINDIGO.FR;0145721761;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/01/2019;240;2400;OUI;1046,5;1744,5;NON;ND;01/01/2019;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;22;120;336;1200;120;336;1200;100;1,45;84;235.2;840;10;2020-05-01;8F 8G 16E 16F 16G 17E 17F 17G 17H 17J 17L 17M 17N;0,4;0,75;13,05;OUI;366;610,5;NON;ND;3000;NON;NON;ND;648436.9019;6864467.7266;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.296854671154894, 48.87816035535188]}";48.8781603554,2.29685467115
6;VENDOME;26 TER PLACE VENDÔME;26 TER PLACE VENDOME;1;INDIGO;WWW.PARKINDIGO.FR;0142605000;190;;VISITEURS ET ABONNES;24h / 24;ELEVATEUR PREVU;OUI;NON;NON;NON;01/08/2016;294;3040;NON;ND;ND;OUI;2128;01/09/2016;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;30;ND;ND;ND;ND;ND;1520;0;1,6;76.5;218;795.6;ND;2020-05-01;1E 2E 6E 7L 8E 8H 8K 9G;0,4;0,8;13,6;NON;ND;ND;NON;ND;3953;NON;NON;ND;650865.3421;6863304.9314;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.330000822459014, 48.86783514953301]}";48.8678351495,2.33000082246
18;MEYERBEER (OPERA);2 TER RUE DE LA CHAUSSÉE D'ANTIN;2 TER RUE DE LA CHAUSSEE D ANTIN;9;SAEMES;WWW.SAEMES.FR;0147429514;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/07/2018;282;2820;OUI;1226,2;1635;NON;ND;01/01/2020;1;2;4;6;8;12;16;28;32;36;36;36;36;36;12;141;402;1410;141;402;1410;47;1,4;98.7;281;987;10;2020-05-01;1E 2E 9E 9F 9G;0,35;0,7;12,6;OUI;429;572;NON;ND;3530;NON;NON;ND;651155.8835;6863691.089;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.334055113667673, 48.87135159521537]}";48.8713515952,2.33405511367
53;PLACE VICTOR HUGO;76 TER AVENUE VICTOR HUGO;76 AVENUE VICTOR HUGO;16;INDIGO;WWW.PARKINDIGO.FR;0145242509;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/08/2016;315;3276;NON;ND;ND;NON;ND;01/01/2017;1,15;2,3;4,6;6,9;9,2;13,8;18,4;32,2;36,8;39,6;39,6;39,6;39,6;39,6;6;157,5;449;1638;157,5;449;1638;28;1,6;110;314;1147;10;2020-05-01;ND;0,4;0,8;13,6;NON;ND;ND;NON;ND;4095;NON;NON;ND;647514.3316;6863506.5273;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.284540540729823, 48.8693893678004]}";48.8693893678,2.28454054073
154;CARDINET;149 TER RUE CARDINET;149 TER RUE CARDINET;17;SAEMES;WWW.SAEMES.FR;0144829999;210;;ABONNES;POUR ABONNES;OUI;OUI;OUI;OUI;NON;01/01/2020;220;2230;OUI;1337,8;1783,8;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;12;110;313,5;1114,9;110;313,5;1114,9;16;ND;88;250.8;891.9;19;2020-05-01;17K 17P 17R 17S 17T;ND;ND;ND;NON;ND;ND;NON;ND;2788;NON;NON;ND;649898.448;6865781.231;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.316918921087553, 48.890067874699085]}";48.8900678747,2.31691892109
120;CHARLETY COUBERTIN;29 AVENUE PIERRE DE COUBERTIN;29 AVENUE PIERRE DE COUBERTIN;13;SAEMES;WWW.SAEMES.FR;0145652561;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/07/2019;122;1323;NON;ND;ND;OUI;926,1;01/01/2020;1;2;3,9;5,9;7,8;11,7;15,6;27,3;31,2;35,1;35,1;35,1;35,1;35,1;5;ND;ND;ND;61;170;661,5;16;ND;49;136;529;16;2020-05-01;13E 13F 13G 13L 13M 13N 14H;ND;ND;ND;NON;ND;ND;OUI;395;1654;NON;OUI;75;651855.565;6857671.344;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.34427401960035, 48.81733297570226]}";48.8173329757,2.3442740196
68;FIRMIN GEMIER;5 RUE FIRMIN GEMIER;5 RUE FIRMIN GEMIER;18;SAEMES;WWW.SAEMES.FR;0144829999;195;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;01/07/2019;139;1501;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;117;ND;ND;ND;ND;ND;7;ND;56;155;600;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;1501;NON;NON;ND;650879.9809;6866288.4283;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.330110002251372, 48.89477679456375]}";48.8947767946,2.33011000225
15;HOCHE;14 QUATER ET 29 TER AVENUE HOCHE;14 QUATER AVENUE HOCHE;8;INDIGO;WWW.PARKINDIGO.FR;0143807381;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;295;3068;NON;ND;ND;NON;ND;01/09/2016;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;10;ND;ND;ND;ND;ND;1539;13;ND;171;487;1778;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;3224;NON;NON;ND;648816.419;6864328.6228;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.302158872913693, 48.87684400816713]}";48.8768440082,2.30215887291
2;MALESHERBES ANJOU;20 TER ET 35 TER BOULEVARD MALESHERBES;20 TER BOULEVARD MALESHERBES;8;SAGS;WWW.SAGS.FR;0142650611;190;;VISITEURS ET ABONNES;24h / 24;NON;OUI;NON;NON;NON;01/01/2020;289;2890;OUI;1617;2310;NON;ND;01/01/2020;1;2,05;4,1;6,15;8,2;12,3;16,4;28,7;32,8;36,9;36,9;36,9;36,9;36,9;0;144,5;404;1445;144,5;404;1445;16;1,4;101.15;282.8;1011.5;10;2020-05-01;1E 2E 8H 8J 8K 8L;0,35;0,7;12,6;OUI;565,95;808,5;NON;ND;3612.5;NON;NON;ND;650244.5512;6863842.4424;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.3217000519077082, 48.87251015052632]}";48.8725101505,2.32170005191
9;POLYTECHNIQUE;13 TER RUE JACQUES-HENRI LARTIGUE;13 TER RUE JACQUES HENRI LARTIGUE;5;SAEMES;WWW.SAEMES.FR;0144829999;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;01/07/2019;224;2489;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;13;ND;90;264;996;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;2489;NON;NON;ND;652378.7469;6860961.8453;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.351001011887355, 48.847014414481116]}";48.8470144145,2.35100101189
114;PORTE D ASNIERES;2 AVENUE DE LA PORTE D'ASNIÈRES;2 AVENUE DE LA PORTE D ASNIERES;17;INDIGO;WWW.PARKINDIGO.FR;0143807381;190;;ABONNES;POUR ABONNES;OUI;OUI;NON;OUI;NON;01/08/2016;152;1581;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;3;ND;ND;ND;936;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;1581;NON;NON;ND;648961.2958;6865841.8216;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.303751340299147, 48.89037299662202]}";48.8903729966,2.3037513403
40;PORTE DE SAINT OUEN;27 TER AVENUE DE LA PORTE DE SAINT OUEN;27 TER AVENUE DE LA PORTE DE SAINT OUEN;17;INDIGO;WWW.PARKINDIGO.FR;0142293196;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2019;124;1240;NON;ND;ND;OUI;950;01/07/2018;0,8;1,6;3,2;4,8;6,4;9,6;12,8;22,4;25,6;28,8;32;35,2;38,4;38,4;10;ND;ND;ND;ND;ND;ND;4;ND;43.4;ND;ND;ND;2020-05-01;17R 17S 17T 17U 18E 18H 18J 18K 18L 18M 18N 18P 18R 18S 18T;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;OUI;75;650834.5461;6866880.2226;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.329425871828883, 48.900143393536155]}";48.9001433935,2.32942587183
100;VAN GOGH;203 TER RUE DE BERCY;203 TER RUE DE BERCY;12;SAEMES;WWW.SAEMES.FR;0144829999;190;;ABONNES;POUR ABONNES;OUI;NON;OUI;NON;NON;01/01/2020;201.4;2097;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;2097;NON;NON;ND;653893.3059;6860699.2014;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.37185238109361, 48.84467555619906]}";48.8446755562,2.37185238109
123;WAGRAM COURCELLES;103 TER RUE JOUFFROY D'ABBANS;103 TER RUE JOUFFROY D ABBANS;17;INDIGO;WWW.PARKINDIGO.FR;0143807381;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;305;3172;NON;ND;ND;NON;ND;01/09/2016;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;5;ND;ND;ND;ND;ND;1586;10;ND;122;348;1269;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;3713;NON;NON;ND;648767.3724;6864872.3366;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.30128850156268, 48.88189769802315]}";48.881897698,2.30128850156
28;MAGENTA GARE DE L EST;8 TER SQUARE ALBAN SATRAGNE;8 TER SQUARE ALBAN SATRAGNE;10;INDIGO;WWW.PARKINDIGO.FR;0147702536;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;07/08/2019;250;2500;OUI;1500;2000;NON;ND;07/08/2019;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;16;125;350;1250;125;350;1250;50;1,45;87,5;245;875;10;2020-05-01;10E 10F 10G;0,4;0,75;13,05;OUI;525;700;NON;ND;3125;NON;NON;ND;;;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.355297329538506, 48.87566679168405]}";48.8756667917,2.35529732954
84;MAUBERT COLLEGE DES BERNARDINS;39 TER BOULEVARD SAINT-GERMAIN;39 TER BOULEVARD SAINT GERMAIN;5;SAEMES;WWW.SAEMES.FR;0143269701;185;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/07/2019;219;2190;NON;ND;ND;NON;ND;01/07/2018;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;12;109,5;306,6;1095;109,5;306,6;1095;25;1,45;76.6;214.6;766.5;16;2020-05-01;ND;0,35;0,75;13,05;NON;ND;ND;NON;ND;2738;NON;NON;ND;652374.2738;6861238.6764;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.350911352763685, 48.849492684741534]}";48.8494926847,2.35091135276
82;MOZART;2 QUATER RUE DE LA CURE;2 QUATER RUE DE LA CURE;16;SAEMES;WWW.SAEMES.FR;0144829999;190;;ABONNES;POUR ABONNES;OUI;OUI;NON;NON;NON;01/07/2019;ND;2863;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;5;ND;ND;328;1145;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;2863;NON;NON;ND;646338.2507;6861773.6824;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.268661606466061, 48.85372276363086]}";48.8537227636,2.26866160647
79;PEREIRE;211/M BOULEVARD PÉREIRE;211 M BOULEVARD PEREIRE;17;SAEMES;WWW.SAEMES.FR;0144829999;200;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;01/07/2016;193;1910;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;21;ND;ND;339;1256;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;3141;NON;NON;ND;647948.96;6864780.012;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.290203996874819, 48.881025980734535]}";48.8810259807,2.29020399687
85;POLIVEAU;39 BIS RUE POLIVEAU;39 BIS RUE POLIVEAU;5;SAEMES;WWW.SAEMES.FR;0144829999;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;OUI;01/07/2019;174;1670;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;ND;ND;ND;2;ND;ND;192;ND;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;1670;NON;NON;ND;652839.9395;6860165.287;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.357557769496533, 48.83985160023665]}";48.8398516002,2.3575577695
181;BIBLIOTHEQUE F. MITTERRAND (RIVE GAUCHE);16 RUE ÉMILE DURKHEIM, 43 QUAI FRANÇOIS MAURIAC;16 RUE EMILE DURKHEIM;13;INDIGO;WWW.PARKINDIGO.FR;0144066050;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;OUI;01/09/2016;235;2350;OUI;1410;1880;NON;ND;01/02/2020;0,95;1,9;3,8;5,7;7,6;11,4;15,2;26,6;30,4;34,2;34,2;34,2;34,2;34,2;20;118;329;1175;118;329;1175;32;1,3;82;230;823;10;2020-05-01;5F 12E 12F 13J 13K 13L 13M 13N 13P 13R 13S;0,35;0,7;11,7;OUI;493,5;658;NON;ND;2938;NON;OUI;75;654289.188;6859315.76;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.377329212627512, 48.832250361245244]}";48.8322503612,2.37732921263
189;CHAMPS ELYSEES;62 TER ET 113 AVENUE DES CHAMPS ELYSÉES;113 AVENUE CHAMPS ELYSEES;8;INDIGO;WWW.PARKINDIGO.FR;0145614079;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;264;2626.5;NON;ND;ND;OUI;1838,55;01/09/2016;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;11;ND;ND;ND;132;367;1313,25;40;ND;72;206;727;ND;2020-05-01;8E 8F 8G 8H 8J 16E 16F 16G 16H 16I 16J 17E;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;648619.27;6863796.7715;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.299447098675917, 48.872169932513955]}";48.8721699325,2.29944709868
109;ETOILE FRIEDLAND;14 TER ET 39 TER AVENUE DE FRIEDLAND;14 TER AVENUE DE FRIEDLAND;8;INDIGO;WWW.PARKINDIGO.FR;0142896964;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;292;2936;NON;ND;ND;NON;ND;01/09/2016;1,2;2,4;4,8;7,2;9,6;14,4;19,2;33,6;38,4;39,6;39,6;39,6;39,6;39,6;6;ND;ND;ND;ND;ND;1468;5;ND;ND;ND;ND;ND;2020-05-01;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;NON;ND;648737.1323;6864067.587;;;;;;;"{""type"": ""Point"", ""coordinates"": [2.301229862865925, 48.874519542067596]}";48.8745195421,2.30122986287
